method,seed,step,room,room_name,action,external_reward,prediction_error,learning_progress,empowerment,utility,tau,boredom,mode_shift,epsilon,action_entropy,shaped_reward
aed,0,118,2,mastered,2,0.0,0.0,0.0029137625142665463,0.7712070794158365,1.1597243816380214,0.4784769345135061,6.477752510859887,0.0,0.05,0.15405767236812593,1.1597243816380214
aed,0,119,2,mastered,2,0.0,0.0,0.0027680743885532197,0.7725166243232496,1.1615430108734277,0.4821422648953057,6.412974985751288,0.0,0.05,0.15405767236812593,1.1615430108734277
aed,0,120,2,mastered,2,0.0,0.0,0.002629670669125561,0.7737805807956841,1.1633005418626519,0.48579805628014244,6.348845235893775,0.0,0.05,0.15405767236812593,1.1633005418626519
aed,0,121,2,mastered,2,0.0,0.0,0.0024981871356692803,0.7750016301421729,1.1650006323489288,0.4894440691604864,6.285356783534837,0.0,0.05,0.15405767236812593,1.1650006323489288
aed,0,122,2,mastered,2,0.0,0.0,0.002373277778885817,0.7761822357914494,1.16664663146606,0.49308008197201425,6.222503215699489,0.0,0.05,0.15405767236812593,1.16664663146606
aed,0,123,2,mastered,2,0.0,0.0,0.002254613889941526,0.7773246656221667,1.1682416123231916,0.49670588962377016,6.160278183542494,0.0,0.05,0.15405767236812593,1.1682416123231916
aed,0,124,2,mastered,2,0.0,0.0,0.0021418831954444495,0.7784310115539371,1.1697884005263501,0.5003213021782831,6.0986754017070695,0.0,0.05,0.15405767236812593,1.1697884005263501
aed,0,125,2,mastered,2,0.0,0.0,0.002034789035672231,0.7795032067878803,1.1712895992174928,0.5039261436634792,6.037688647689999,0.0,0.05,0.15405767236812593,1.1712895992174928
aed,0,126,2,mastered,2,0.0,0.0,0.0019330495838886172,0.7805430410230864,1.172747611118518,0.5075202510007544,5.977311761213099,0.0,0.05,0.15405767236812593,1.172747611118518
aed,0,127,2,mastered,2,0.0,0.0,0.0018363971046941874,0.7815521739241578,1.1741646579909308,0.5111034730357052,5.917538643600968,0.0,0.05,0.15405767236812593,1.1741646579909308
aed,0,128,2,mastered,2,0.0,0.0,0.001744577249459478,0.782532147072732,1.1755427978585575,0.5146756696598196,5.8583632571649575,0.0,0.05,0.15405767236812593,1.1755427978585575
aed,0,129,2,mastered,2,0.0,0.0,0.0016573483869865013,0.7834843946007778,1.1768839402881532,0.5182367110129612,5.799779624593308,0.0,0.05,0.15405767236812593,1.1768839402881532
aed,0,130,2,mastered,2,0.0,0.0,0.0015744809676371783,0.7844102526742786,1.178189859979055,0.5217864767577917,5.741781828347374,0.0,0.05,0.15405767236812593,1.178189859979055
aed,0,131,2,mastered,2,0.0,0.0,0.0014957569192553186,0.7853109679714914,1.1794622088764923,0.5253248554183851,5.6843640100639,0.0,0.05,0.15405767236812593,1.1794622088764923
aed,0,132,1,puzzle,1,0.0,0.0,0.0014209690732925537,0.8049520017959838,1.2088489717672681,0.5289924760001296,5.627520369963261,0.0,0.05,0.15405767236812593,1.2088489717672681
aed,0,133,1,puzzle,2,1.0,0.0,0.0013499206196279229,0.8779203465143578,1.3182304403911647,0.5331886658220848,5.571245166263629,0.0,0.05,0.15405767236812593,2.3182304403911647
aed,0,134,1,puzzle,2,1.0,0.0,0.0012824245886465281,0.8803114961232811,1.3217496687735681,0.5373814708368422,5.515532714600993,0.0,0.05,0.15405767236812593,2.321749668773568
aed,0,135,1,puzzle,2,1.0,0.0,0.0012183033592142005,0.8824930392776704,1.3249578622757199,0.5415693527940365,5.460377387454983,0.0,0.05,0.15405767236812593,2.3249578622757197
aed,0,136,1,puzzle,2,1.0,0.0,0.001157388191253491,0.8844940710524629,1.327898494769948,0.5457509985039161,5.4057736135804335,0.0,0.05,0.15405767236812593,2.327898494769948
aed,0,137,1,puzzle,2,1.0,0.0,0.001099518781690817,0.8863383415553233,1.3306070311146758,0.5499252786669698,5.351715877444629,0.0,0.05,0.15405767236812593,2.330607031114676
aed,0,138,1,puzzle,2,1.0,0.0,0.0010445428426062754,0.8880454526355064,1.3331127217958658,0.5540912158826143,5.298198718670183,0.0,0.05,0.15405767236812593,2.3331127217958656
aed,0,139,1,puzzle,2,1.0,0.0,0.0009923157004759625,0.8896317431925597,1.3354399304893154,0.5582479594556479,5.245216731483481,0.0,0.05,0.15405767236812593,2.3354399304893154
aed,0,140,1,puzzle,2,1.0,0.0,0.0009426999154521637,0.8911109544035309,1.3376091315207488,0.5623947653159733,5.192764564168646,0.0,0.05,0.15405767236812593,2.3376091315207486
aed,0,141,1,puzzle,2,1.0,0.0,0.0008955649196795562,0.8924947366496003,1.3396376698940802,0.5665309798388639,5.14083691852696,0.0,0.05,0.15405767236812593,2.3396376698940804
aed,0,142,1,puzzle,2,1.0,0.0,0.0008507866736955777,0.893793040758733,1.341540347811795,0.5706560266787286,5.08942854934169,0.0,0.05,0.15405767236812593,2.341540347811795
aed,0,143,1,puzzle,2,1.0,0.0,0.0008082473400107988,0.8950144234818644,1.3433298825628075,0.574769395958149,5.038534263848273,0.0,0.05,0.15405767236812593,2.3433298825628075
aed,0,144,1,puzzle,2,1.0,0.0,0.0007678349730102594,0.8961662885428372,1.345017267787266,0.5788706353172945,4.988148921209791,0.0,0.05,0.15405767236812593,2.345017267787266
